Food,Alias,Language
Barley Grains,Barley,1
Barley Grains,شعير,2
Barley Grains,حبوب شعير,2
Corn Grains (White),Corn,1
Corn Grains (White),ذرة بيضاء,2
Corn Grains (Yellow),Corn,1
Corn Grains (Yellow),ذرة صفراء,2
Corn Flakes,Corn,1
Corn Flakes,Flakes,1
Corn Flakes,كورن فليكس,2
Corn Flour,Corn,1
Corn Flour,Flour,1
Corn Flour,دقيق ذرة,2
"Corn Kernels, Canned",Corn,1
"Corn Kernels, Canned",Kernels,1
"Corn Kernels, Canned",ذرة معلبة,2
"Corn Kernels on Cob, Grilled",Corn,1
"Corn Kernels on Cob, Grilled",Kernels,1
"Corn Kernels on Cob, Grilled",Cob,1
"Corn Kernels on Cob, Grilled",ذرة مشوية,2
"Corn Kernels on Cob, Grilled",كوز ذرة مشوي,2
Popcorn,فشار,2
Puffed Corn,Corn,1
Puffed Corn,ذرة منفوشة,2
Corn Starch,Corn,1
Corn Starch,Starch,1
Corn Starch,نشا ذرة,2
Macaroni,مكرونة,2
"Macaroni with Tomato, Cooked",Macaroni,1
"Macaroni with Tomato, Cooked",Tomato,1
"Macaroni with Tomato, Cooked",مكرونة بالصلصة,2
"Macaroni with Tomato and Meat, Cooked",Macaroni,1
"Macaroni with Tomato and Meat, Cooked",Tomato,1
"Macaroni with Tomato and Meat, Cooked",مكرونة باللحمة والصلصة,2
Fried Noodles,Noodles,1
Fried Noodles,شعرية مقلية,2
Rice Grains (Long),Rice,1
Rice Grains (Long),Long,1
Rice Grains (Long),أرز حبة طويلة,2
Rice Grains (Short),Rice,1
Rice Grains (Short),Short,1
Rice Grains (Short),أرز حبة قصيرة,2
Rice Flour,Rice,1
Rice Flour,Flour,1
Rice Flour,دقيق الأرز,2
Rice Flour,نشا الأرز,2
Fried Rice,Rice,1
Fried Rice,أرز مقلي,2
Fried Rice with Noodles,Rice,1
Fried Rice with Noodles,Noodles,1
Fried Rice with Noodles,أرز بالشعرية,2
Fried Rice with Onions,Rice,1
Fried Rice with Onions,Onions,1
Fried Rice with Onions,أرز بالبصل,2
Fortified Rice Baby Food,Rice,1
Fortified Rice Baby Food,أرز مدعم للأطفال,2
Rice (Koshari),Rice,1
Rice (Koshari),Koshari,1
Rice (Koshari),كشري,2
"Rice (Koshari), Market",Rice,1
"Rice (Koshari), Market",Koshari,1
"Rice (Koshari), Market",كشري من المحل,2
Rice Pudding with Milk,Rice,1
Rice Pudding with Milk,Pudding,1
Rice Pudding with Milk,Milk,1
Rice Pudding with Milk,رز باللبن,2
Puffed/Crisp Rice,Rice,1
Puffed/Crisp Rice,أرز منفوش,2
Semolina,سميد,2
Sorghum Grains,Sorghum,1
Sorghum Grains,ذرة رفيعة,2
Wheat Bran,Wheat,1
Wheat Bran,Bran,1
Wheat Bran,ردة القمح,2
Wheat Bran,نخالة,2
Wheat Grains,Wheat,1
Wheat Grains,قمح,2
Wheat Grains,حبوب قمح,2
"Wheat Grains (Bolila, Canned)",Wheat,1
"Wheat Grains (Bolila, Canned)",Bolila,1
"Wheat Grains (Bolila, Canned)",بليلة معلبة,2
Wheat Flour (Brown),Wheat,1
Wheat Flour (Brown),Flour,1
Wheat Flour (Brown),دقيق أسمر,2
Wheat Flour (White),Wheat,1
Wheat Flour (White),Flour,1
Wheat Flour (White),دقيق أبيض,2
Fortified Wheat Baby Food,Wheat,1
Fortified Wheat Baby Food,قمح مدعم للأطفال,2
"Wheat Koskos, Plain",Wheat,1
"Wheat Koskos, Plain",Koskos,1
"Wheat Koskos, Plain",كسكسي سادة,2
"Wheat Koskos, Sweet",Wheat,1
"Wheat Koskos, Sweet",Koskos,1
"Wheat Koskos, Sweet",Sweet,1
"Wheat Koskos, Sweet",كسكسي بالسكر,2
Parboiled Wheat (Burghul),Parboiled,1
Parboiled Wheat (Burghul),Wheat,1
Parboiled Wheat (Burghul),Burghul,1
Parboiled Wheat (Burghul),برغل,2
Rubbed Wheat (Fereek),Rubbed,1
Rubbed Wheat (Fereek),Wheat,1
